City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Butaritari,KI,3.0707,172.7902,83.97,72,99,15.88,overcast clouds
79,Bambous Virieux,MU,-20.3428,57.7575,70.05,88,75,19.57,light rain
80,Tomatlan,MX,19.9333,-105.25,77.63,88,100,1.63,overcast clouds
81,Mataura,NZ,-46.1927,168.8643,51.48,35,6,2.44,clear sky
82,Victoria,HK,22.2855,114.1577,87.24,77,39,3.0,scattered clouds
83,Carbondale,US,37.7273,-89.2168,73.83,72,1,3.44,clear sky
84,Qaanaaq,GL,77.484,-69.3632,19.06,59,63,8.12,broken clouds
85,Bayangol,RU,50.6977,103.4656,34.5,73,100,1.12,overcast clouds
86,Mount Gambier,AU,-37.8333,140.7667,58.91,55,91,9.22,overcast clouds
87,Darnah,LY,32.767,22.6367,74.57,68,0,18.12,clear sky
88,Cansancao,BR,-10.6672,-39.4992,72.27,76,59,10.74,broken clouds
89,Sorland,NO,67.667,12.6934,53.46,86,99,14.52,overcast clouds
90,Lagos,NG,6.5833,3.75,80.92,92,55,2.33,broken clouds
91,Hermanus,ZA,-34.4187,19.2345,58.89,90,73,6.13,broken clouds
92,Shache,CN,38.4167,77.2406,63.05,25,0,5.95,clear sky
93,Beloha,MG,-25.1667,45.05,69.17,67,0,7.85,clear sky
94,Andra,RU,62.5147,65.8878,29.16,90,18,4.99,few clouds
95,Lompoc,US,34.6391,-120.4579,67.14,80,90,4.0,overcast clouds
96,Albany,US,42.6001,-73.9662,56.59,83,1,5.03,clear sky
97,Longyearbyen,SJ,78.2186,15.6401,37.24,87,75,16.11,light rain
98,Te Anau,NZ,-45.4167,167.7167,48.63,41,0,1.59,clear sky
99,Waipawa,NZ,-41.4122,175.5153,47.44,89,100,9.75,light rain
100,Trairi,BR,-3.2778,-39.2689,79.07,84,79,12.55,broken clouds
101,Malaut,IN,30.2167,74.4833,78.26,73,0,5.28,clear sky
102,Kieta,PG,-6.2167,155.6333,85.69,65,64,4.12,light rain
103,Hami,CN,42.8,93.45,64.63,22,0,2.75,clear sky
104,Iqaluit,CA,63.7506,-68.5145,35.33,87,90,15.99,overcast clouds
105,Honiara,SB,-9.4333,159.95,83.73,77,100,6.51,overcast clouds
106,Chuy,UY,-33.6971,-53.4616,57.4,94,11,5.59,few clouds
107,Lorengau,PG,-2.0226,147.2712,83.19,76,99,8.99,overcast clouds
108,Neyshabur,IR,36.2133,58.7958,62.15,49,0,4.29,clear sky
109,Nago,JP,26.5881,127.9761,86.07,76,86,12.12,overcast clouds
110,Katsuura,JP,35.1333,140.3,77.18,64,28,19.73,scattered clouds
111,Upernavik,GL,72.7868,-56.1549,23.77,64,0,3.83,clear sky
112,Santa Cruz Del Sur,CU,20.7147,-77.9956,81.5,78,27,9.57,light rain
113,Plouzane,FR,48.3833,-4.6167,64.72,91,90,24.16,overcast clouds
114,Morehead,US,37.2711,-87.1764,66.83,82,1,0.0,clear sky
115,Celestun,MX,20.8667,-90.4,82.22,78,56,12.01,broken clouds
116,Nome,US,64.5011,-165.4064,39.16,75,28,13.56,scattered clouds
117,Mar Del Plata,AR,-38.0023,-57.5575,54.09,65,90,5.01,overcast clouds
118,Flinders,AU,-34.5833,150.8552,65.17,65,82,1.99,broken clouds
119,Beyneu,KZ,45.3167,55.2,58.69,63,100,18.99,overcast clouds
120,Maniitsoq,GL,65.4167,-52.9,32.16,52,0,5.91,clear sky
121,Gillette,US,44.2911,-105.5022,81.25,18,4,6.4,clear sky
122,Ostrovnoy,RU,68.0531,39.5131,43.39,91,99,15.77,overcast clouds
123,Bekhtery,UA,46.251,32.2927,52.0,67,6,9.04,clear sky
124,Dingle,PH,10.9995,122.6711,83.32,81,95,6.98,overcast clouds
125,Ilulissat,GL,69.2167,-51.1,7.29,80,1,5.21,clear sky
126,San Patricio,US,28.017,-97.5169,80.02,61,100,11.12,overcast clouds
127,Auki,SB,-8.7676,160.7034,83.7,71,88,2.68,overcast clouds
128,Torbay,CA,47.6666,-52.7314,53.89,92,75,11.5,broken clouds
129,Hun,LY,29.1268,15.9477,69.6,61,4,6.64,clear sky
130,Porgera,PG,-5.4667,143.2,54.12,82,96,2.44,overcast clouds
131,Masindi,UG,1.6744,31.715,61.59,98,21,2.46,light rain
132,Alta Floresta,BR,-9.8756,-56.0861,71.67,88,15,3.29,few clouds
133,Amambai,BR,-23.1042,-55.2258,77.81,42,0,6.31,clear sky
134,Sabha,LY,27.0377,14.4283,71.42,30,0,8.88,clear sky
135,Seydi,TM,39.4816,62.9137,57.4,67,0,10.0,clear sky
136,Nuevo Progreso,MX,23.1667,-97.95,83.59,62,12,4.85,few clouds
137,Sinnamary,GF,5.3833,-52.95,80.56,82,14,11.45,few clouds
138,Georgetown,MY,5.4112,100.3354,79.9,94,20,1.99,light rain
139,Ancud,CL,-41.8697,-73.8203,42.33,81,89,5.46,overcast clouds
140,Olafsvik,IS,64.8945,-23.7142,39.49,72,100,35.46,overcast clouds
141,Ormara,PK,25.2088,64.6357,81.63,78,43,7.67,scattered clouds
142,Rajgarh,IN,28.6333,75.3833,79.61,78,0,7.49,clear sky
143,Choix,MX,26.7092,-108.3219,84.7,56,0,1.79,clear sky
144,Yerbogachen,RU,61.2767,108.0108,32.49,94,100,13.6,snow
145,Nieves,PH,15.3274,120.9485,84.13,75,15,0.69,few clouds
146,Baijiantan,CN,45.6333,85.1833,54.0,27,7,7.94,clear sky
147,Biak,ID,-0.9131,122.8766,80.98,69,100,5.86,overcast clouds
148,Lensk,RU,60.7253,114.9278,34.25,99,100,6.2,moderate rain
149,Oistins,BB,13.0667,-59.5333,80.69,89,40,12.66,scattered clouds
150,Kaitangata,NZ,-46.2817,169.8464,52.93,32,4,5.1,clear sky
151,Sao Filipe,CV,14.8961,-24.4956,78.58,80,87,5.23,overcast clouds
152,San Felipe,VE,10.3399,-68.7425,75.25,82,65,2.55,broken clouds
153,Tasiilaq,GL,65.6145,-37.6368,24.75,68,15,5.28,few clouds
154,Locri,IT,38.2414,16.2623,77.56,47,32,6.02,scattered clouds
155,Laguna,US,38.421,-121.4238,87.22,50,1,7.0,clear sky
156,Sehithwa,BW,-20.4667,22.7167,67.51,21,0,4.61,clear sky
157,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,69,20,8.05,few clouds
158,Mubi,NG,10.2676,13.2644,74.07,73,99,4.83,overcast clouds
159,Esperance,AU,-33.8667,121.9,58.84,88,81,12.15,broken clouds
160,Berlevag,NO,70.8578,29.0864,48.36,85,100,14.85,overcast clouds
161,Balaipungut,ID,1.05,101.2833,75.61,96,96,2.01,moderate rain
162,Saint George,US,37.1041,-113.5841,90.07,23,78,1.01,broken clouds
163,Kitui,KE,-1.367,38.0106,59.74,90,8,6.08,clear sky
164,Mocuba,MZ,-16.8392,36.9856,68.67,88,5,3.06,clear sky
