City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Hithadhoo,MV,2021-09-26 02:33:04,-0.6,73.0833,81.88,76,100,16.31
67,Saskylakh,RU,2021-09-26 02:33:04,71.9167,114.0833,33.6,88,100,17.4
68,Hobart,AU,2021-09-26 02:31:44,-42.8794,147.3294,55.06,54,20,12.66
69,Ariquemes,BR,2021-09-26 02:33:05,-9.9133,-63.0408,76.44,73,8,2.35
70,Pangai,TO,2021-09-26 02:33:05,-19.8,-174.35,72.61,59,80,11.16
71,Ancud,CL,2021-09-26 02:33:06,-41.8697,-73.8203,40.53,70,4,5.93
72,Asau,RO,2021-09-26 02:33:06,46.4333,26.4,52.39,86,0,5.37
73,Sol-Iletsk,RU,2021-09-26 02:33:06,51.1631,54.9918,49.08,77,100,8.61
74,Medicine Hat,CA,2021-09-26 02:33:07,50.0501,-110.6683,72.03,36,40,5.75
75,Pevek,RU,2021-09-26 02:33:07,69.7008,170.3133,30.16,96,100,11.92
76,Grindavik,IS,2021-09-26 02:33:07,63.8424,-22.4338,41.47,70,0,23.02
77,Ribeira Grande,PT,2021-09-26 02:33:08,38.5167,-28.7,71.15,83,100,4.23
78,Lompoc,US,2021-09-26 02:32:37,34.6391,-120.4579,65.79,88,75,8.05
79,Port Said,EG,2021-09-26 02:33:08,31.2565,32.2841,76.98,65,20,12.66
80,Tiksi,RU,2021-09-26 02:33:08,71.6872,128.8694,34.07,85,100,20.98
81,Tres Arroyos,AR,2021-09-26 02:33:09,-38.3739,-60.2798,56.82,73,60,15.52
82,Copiapo,CL,2021-09-26 02:33:09,-27.3667,-70.3333,51.49,51,0,1.5
83,Khatanga,RU,2021-09-26 02:33:09,71.9667,102.5,33.24,76,96,12.24
84,Srednekolymsk,RU,2021-09-26 02:33:10,67.45,153.6833,36.77,77,100,15.1
85,Alice Springs,AU,2021-09-26 02:33:10,-23.7,133.8833,80.15,12,0,13.8
86,Bluff,NZ,2021-09-26 02:33:10,-46.6,168.3333,48.79,56,75,14.61
87,Senneterre,CA,2021-09-26 02:33:11,48.3835,-77.2328,50.22,96,100,5.79
88,Trat,TH,2021-09-26 02:33:11,12.5,102.5,80.91,89,100,1.43
89,Komsomolskiy,UZ,2021-09-26 02:33:11,40.4272,71.7189,61.52,36,0,4.61
90,Falmouth,GB,2021-09-26 02:33:12,50.1544,-5.0711,57.78,100,75,4.61
91,Saint George,US,2021-09-26 02:32:06,37.1041,-113.5841,86.47,25,1,3.0
92,Kaolack,SN,2021-09-26 02:33:12,14.1825,-16.2533,79.3,82,89,5.08
93,Hilo,US,2021-09-26 02:33:13,19.7297,-155.09,82.13,83,75,11.5
94,Zhigansk,RU,2021-09-26 02:33:13,66.7697,123.3711,38.08,67,25,15.55
95,Kamenka,RU,2021-09-26 02:33:13,51.3223,42.7678,47.71,84,100,10.27
